"name","description","date_iso","type"
Robert E. Lee's Birthday,Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.,"2019-10-12",Local observance
Navy Birthday,"Navy Birthday celebrates the establishment of the United States Navy on October 13, 1775.","2019-10-13",Observance
Chicago Marathon,The Chicago Marathon is one of the six World Marathon Majors and is held annually in October.,"2019-10-13",Sporting event
First Day of Sukkot,"The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in many countries, including the United States.","2019-10-14",Hebrew
Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,"2019-10-14",Local holiday
Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,"2019-10-14",National holiday
Fraternal Day,Fraternal Day is a state holiday in the USA,"2019-10-14",Local holiday
Native American Day,"Native Americans' Day, on the second Monday of October, is celebrated some parts of the United States in lieu of Columbus Day.","2019-10-14",Local observance
Native American Day,"Native Americans' Day, on the second Monday of October, is celebrated some parts of the United States in lieu of Columbus Day.","2019-10-14",Local holiday
Indigenous People's Day,Indigenous People's Day is a state holiday in the USA,"2019-10-14",Local holiday
Indigenous People's Day,Indigenous People's Day is a state observance in the USA,"2019-10-14",Local observance
American Indian Heritage Day,American Indian Heritage Day is often observed on the Friday after Thanksgiving Day in the United States.,"2019-10-14",Local holiday
International Day of Rural Women,The United Nations’ (UN) International Day of Rural Women is annually celebrated on October 15 to recognize rural women’s role in supporting their communities.,"2019-10-15",United Nations observance
White Cane Safety Day,White Cane Safety Day is a United States observance annually held on October 15 to celebrate blind and visually impaired people's achievements and the importance of the white cane.,"2019-10-15",Observance
World Food Day,World Food Day is celebrated on October 16 each year.,"2019-10-16",United Nations observance
Boss's Day,"Boss’s Day is observed in many workplaces in the United States on October 16, or the nearest working day, each year.","2019-10-16",Observance
International Day for the Eradication of Poverty,The United Nations’ (UN) International Day for the Eradication of Poverty is annually observed on October 17 to promote awareness of the need to eradicate poverty worldwide.,"2019-10-17",United Nations observance
Alaska Day,"Alaska Day is an official holiday in Alaska, the United States, on October 18 each year. It commemorates the formal transfer of Alaska from Russia to the United States on October 18, 1867.","2019-10-18",Local holiday
Sweetest Day,Sweetest Day is a observance in the USA,"2019-10-19",Observance
Last Day of Sukkot,"Many Jewish communities in countries such as the United States observe the last day of Sukkot, which marks the end of the Sukkot festival.","2019-10-20",Hebrew
Shmini Atzeret,"Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","2019-10-21",Hebrew
Simchat Torah,Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.,"2019-10-22",Hebrew
United Nations Day,United Nations Day marks the anniversary of the United Nations Charter coming into force in 1945 and celebrates the work of this organization. United Nations Day annually falls on October 24.,"2019-10-24",United Nations observance
World Development Information Day,The United Nations' (UN) World Development Information Day falls on October 24 each year.,"2019-10-24",United Nations observance
Nevada Day,"Nevada Day is an annual state holiday celebrated in Nevada, the United States, on the last Friday of October. It commemorates the statehood of Nevada, which took place on October 31, 1864.","2019-10-25",Local holiday
Diwali/Deepavali,"Diwali, also known as the Festival of Lights, is one of the most popular Hindu festivals.","2019-10-27",Hinduism
World Day for Audiovisual Heritage,The World Day for Audiovisual Heritage is observed on October 27 every year.,"2019-10-27",United Nations observance
World Stroke Day,World Stroke Day is annually held on October 29 to raise awareness about stroke and ways to combat it.,"2019-10-29",Worldwide observance
World Cities Day,World Cities Day is a UN observance that aims to recognize the role of cities as  a foundation for social and economic development.,"2019-10-31",United Nations observance
Halloween,"Halloween is celebrated by hosting costume parties, playing 'trick-or-treat', watching horror films, visiting haunted houses or carving lanterns out of pumpkins.","2019-10-31",Observance
All Saints' Day,"Many Catholics honor all the saints on All Saints' Day, also known as All Hallows' Day, in the United States.","2019-11-01",Christian
World Vegan Day,World Vegan Day is an annual observation that brings together vegans around the world to bring attention to animal rights and to spread the word about the health advantages of following a vegan diet.,"2019-11-01",Worldwide observance
First Day of Native American Heritage Month,First Day of Native American Heritage Month is a annual monthly observance in the USA,"2019-11-01",Observance
All Souls' Day,"Prayers for the dead are made on All Souls’ Day in the United States, which falls on November 2 each year. The Day of the Dead is also celebrated on this day.","2019-11-02",Christian
International Day to End Impunity for Crimes against Journalists,The International Day to End Impunity for Crimes against Journalists raises awareness about violence against journalists.,"2019-11-02",United Nations observance
New York City Marathon,The New York City Marathon is one of the world's largest marathons and takes place every year in November.,"2019-11-03",Sporting event
Daylight Saving Time ends,Daylight Saving Time ends in the USA,"2019-11-03T02:00:00-04:00",Clock change/Daylight Saving Time
World Tsunami Awareness Day,World Tsunami Awareness Day is a United Nations observance in the USA,"2019-11-05",United Nations observance
Election Day,Election Day in the United States of America is the day on which popular ballots are held to select public officials.,"2019-11-05",Observance
Election Day,Election Day in the United States of America is the day on which popular ballots are held to select public officials.,"2019-11-05",Local holiday
International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,The United Nations’ (UN) International Day for Preventing the Exploitation of the Environment in War and Armed Conflict is held on November 6 each year.,"2019-11-06",United Nations observance
The Prophet's Birthday,Eid Milad ul-Nabi (Mawlid or Milad-un-Nabi) commemorates the Prophet Muhammed's birthday.,"2019-11-09",Muslim
World Science Day for Peace and Development,The World Science Day for Peace and Development (WSDPD) is celebrated on November 10 each year.,"2019-11-10",United Nations observance
Marine Corps Birthday,"Marine Corps Birthday celebrates the establishment of the United States Marine Corps on November 10, 1775.","2019-11-10",Observance
Singles’ Day,"","2019-11-11",Worldwide observance
Barack Obama Day,Barack Obama Day is a local observance in the USA,"2019-11-11",Local observance
Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,"2019-11-11",National holiday
World Pneumonia Day,"World Pneumonia Day supports all efforts made to protect and treat people against pneumonia, the single largest cause of child deaths worldwide.","2019-11-12",Worldwide observance
World Diabetes Day,World Diabetes Day is held annually to raise awareness of diabetes and its complications and the care that people with this condition need. It is observed on November 14 each year.,"2019-11-14",United Nations observance
International Day for Tolerance,The United Nations’ (UN) International Day for Tolerance is observed on November 16 each year to help people understand the importance of tolerance worldwide.,"2019-11-16",United Nations observance
World Day of Remembrance for Road Traffic Victims,The World Day of Remembrance for Road Traffic Victims serves as a major advocacy day for road traffic injury prevention.,"2019-11-17",United Nations observance
World Prematurity Day, World Prematurity Day is an annual observance that is dedicated to raising awareness about the health and emotional issues surrounding preterm birth.,"2019-11-17",Worldwide observance
World Toilet Day,World Toilet Day aims to promote public awareness of the need for adequate toilets to improve people’s health and save lives.,"2019-11-19",United Nations observance
International Men's Day,International Men’s Day celebrates men's achievements worldwide and throughout history.,"2019-11-19",Worldwide observance
George Rogers Clark Day,George Rogers Clark Day is a state observance in the USA,"2019-11-19",Local observance
Universal Children's Day,The United Nations' (UN) Universal Children's Day is an occasion to promote the welfare of children and an understanding between children all over the world. It is held on November 20 each year,"2019-11-20",United Nations observance
Africa Industrialization Day,Africa Industrialization Day aims to stimulate the international community's commitment to the industrialization of Africa.,"2019-11-20",United Nations observance
Transgender Day of Remembrance,Transgender Day of Remembrance is a worldwide observance in the USA,"2019-11-20",Worldwide observance
World Television Day,The United Nations’ (UN) World Television Day is globally celebrated on November 21 each year.,"2019-11-21",United Nations observance
World Philosophy Day,World Philosophy Day is celebrated on the third Thursday of November each year.,"2019-11-21",United Nations observance
International Day for the Elimination of Violence against Women,The United Nations' (UN) International Day for the Elimination of Violence against Women raises public awareness of violence against women in all countries around the world and at all levels of society. It is observed each year on November 25.,"2019-11-25",United Nations observance
Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,"2019-11-28",National holiday
International Day of Solidarity with the Palestinian People,The United Nations’ (UN) International Day of Solidarity with the Palestinian People is annually observed on November 29.,"2019-11-29",United Nations observance
Nellie Tayloe Ross's Birthday,Nellie Tayloe Ross's Birthday is a state observance in the USA,"2019-11-29",Local observance
State Holiday,State Holiday is a state holiday in the USA,"2019-11-29",Local holiday
Presidents' Day (Observed),Presidents' Day (Observed) is a state holiday in the USA,"2019-11-29",Local holiday
Lincoln's Birthday/Lincoln's Day,"Lincoln’s Birthday is observed in the United States in honor of Abraham Lincoln, who was the nation’s 16th president and was known as the Great Emancipator.","2019-11-29",Local holiday
Day After Thanksgiving,"The Day After Thanksgiving, also known as Black Friday, is a state holiday more than 20 states.","2019-11-29",Local holiday
Day After Thanksgiving,"The Day After Thanksgiving, also known as Black Friday, is a state holiday more than 20 states.","2019-11-29",Local holiday
Family Day,"The Day After Thanksgiving, also known as Black Friday, is a state holiday more than 20 states.","2019-11-29",Local holiday
Acadian Day,"The Day After Thanksgiving, also known as Black Friday, is a state holiday more than 20 states.","2019-11-29",Local holiday
Black Friday,Black Friday is the day after Thanksgiving Day in the USA. It is a busy shopping day and is a holiday in some states.,"2019-11-29",Observance
American Indian Heritage Day,American Indian Heritage Day is often observed on the Friday after Thanksgiving Day in the United States.,"2019-11-29",Local holiday
Native American Heritage Day,Native American Heritage Day is a state holiday in the USA,"2019-11-29",Local holiday
Native American Heritage Day,Native American Heritage Day is a observance in the USA,"2019-11-29",Observance
Day of Remembrance for all Victims of Chemical Warfare,The UN’s Day of Remembrance for all Victims of Chemical Warfare is annually observed on April 29.,"2019-11-30",United Nations observance
First Sunday of Advent,"Many Christians in the United States observe the first Sunday of Advent, which marks the start of the Christian year.","2019-12-01",Christian
World AIDS Day,The United Nations' (UN) World AIDS Day is annually observed on December 1.,"2019-12-01",United Nations observance
Rosa Parks Day,The life of American civil rights leader Rosa Parks is celebrated in the United States on either February 4 or December 1.,"2019-12-01",Local observance
Rosa Parks Day,The life of American civil rights leader Rosa Parks is celebrated in the United States on either February 4 or December 1.,"2019-12-01",Local observance
International Day for the Abolition of Slavery,The United Nations’ (UN) International Day for the Abolition of Slavery is annually observed on December 2.,"2019-12-02",United Nations observance
Cyber Monday,Most online retailers in the US offer discounted prices on their products and services on Cyber Monday.,"2019-12-02",Observance
International Day of Persons with Disabilities,The United Nations' (UN) International Day of Persons with Disabilities is annually observed on December 3 to re-affirm and draw attention to the rights of people who live with disabilities.,"2019-12-03",United Nations observance
Giving Tuesday,"","2019-12-03",Worldwide observance
Giving Tuesday,The first Tuesday after Thanksgiving has been dubbed “Giving Tuesday” by charities.,"2019-12-03",Observance
International Volunteer Day for Economic and Social Development,"The United Nations’ (UN) International Volunteer Day for Economic and Social Development, also known as International Volunteer Day (IVD), is observed on December 5 each year.","2019-12-05",United Nations observance
World Soil Day,World Soil Day raises awareness of why soil is needed for sustainable living.,"2019-12-05",United Nations observance
St Nicholas Day,Some churches in the United States recognize St Nicholas' Day as a feast day.,"2019-12-06",Observance
International Civil Aviation Day,International Civil Aviation Day is observed globally on December 7 each year. It is observed by organizations such as the International Civil Aviation Organization (ICAO).,"2019-12-07",United Nations observance
Pearl Harbor Remembrance Day,"National Pearl Harbor Remembrance Day remembers those who died or were injured when Pearl Harbor, in Hawaii, was attacked in 1941.","2019-12-07",Observance
Pearl Harbor Remembrance Day,"National Pearl Harbor Remembrance Day remembers those who died or were injured when Pearl Harbor, in Hawaii, was attacked in 1941.","2019-12-07",Local observance
Pearl Harbor Remembrance Day,"National Pearl Harbor Remembrance Day remembers those who died or were injured when Pearl Harbor, in Hawaii, was attacked in 1941.","2019-12-07",Local observance
Delaware Day,Delaware Day is a state observance in the USA,"2019-12-07",Local observance
Feast of the Immaculate Conception,The Feast of the Immaculate Conception is a Christian observance on December 8 each year.,"2019-12-09",Christian
International Anti-Corruption Day,The United Nations’ (UN) International Anti-Corruption Day is annually observed on December 9 to raise public awareness of corruption and ways to fight it.,"2019-12-09",United Nations observance
World Genocide Commemoration Day,World Genocide Commemoration Day is a UN holiday dedicated to the victims of genocide.,"2019-12-09",United Nations observance
Green Monday,The last Monday at least ten days before Christmas has been dubbed “Green Monday” by online marketers.,"2019-12-09",Worldwide observance
Human Rights Day,Human Rights Day marks the anniversary of when the Universal Declaration of Human Rights was proclaimed.,"2019-12-10",United Nations observance
Wyoming Day,Wyoming Day is a state observance in the USA,"2019-12-10",Local observance
International Mountain Day,"The United Nations' (UN) International Mountain Day is an occasion to help raise awareness of the people who live in mountainous regions and the role that these regions play in providing food, water, and recreation. It is observed on December 11 each year.","2019-12-11",United Nations observance
International Day of Neutrality,International Day of Neutrality is a United Nations observance in the USA,"2019-12-12",United Nations observance
International Universal Health Coverage Day,International Universal Health Coverage Day is a United Nations observance in the USA,"2019-12-12",United Nations observance
Feast of Our Lady of Guadalupe,"The Feast of Our Lady Guadalupe, in honor of Jesus’ mother Mary, is a Catholic observance in the United States.","2019-12-12",Christian
Friday the 13th,Friday the 13th is a day full of superstitious beliefs in communities worldwide.,"2019-12-13",Worldwide observance
National Guard Birthday,National Guard Birthday is a observance in the USA,"2019-12-13",Observance
Bill of Rights Day,Bill of Rights Day is a observance in the USA,"2019-12-15",Observance
Pan American Aviation Day,"December 17 marks Pan American Aviation Day, which is annually observed in the United States.","2019-12-17",Observance
Wright Brothers Day,The Wright Brothers Day is annually celebrated in the United States on December 17 to commemorate the historic flight made by Orville and Wilbur Wright on that date in 1903.,"2019-12-17",Observance
International Migrants Day,The United Nations (UN) International Migrants Day is celebrated on December 18 each year.,"2019-12-18",United Nations observance
Arabic Language Day,World Arabic Language Day is a United Nations (UN) observance that celebrates one of the organization’s 6 official languages – Arabic.,"2019-12-18",United Nations observance
International Human Solidarity Day,The United Nations' (UN) International Human Solidarity Day is celebrated on December 20 each year to raise public awareness on the importance of solidarity in fighting poverty.,"2019-12-20",United Nations observance
Super Saturday,"The final Saturday before Christmas has become a very popular shopping day in the US, earning the nickname Super Saturday.","2019-12-21",Worldwide observance
December Solstice,December Solstice in the USA (New York),"2019-12-21T23:19:26-05:00",Season
Chanukah/Hanukkah (first day),"The first day of Hanukkah is the start of the Hanukkah period, which lasts for eight days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","2019-12-23",Hebrew
Christmas Eve,Christmas Eve in the United States is on December 24 each year.,"2019-12-24","Observance, Christian"
Christmas Eve,Christmas Eve in the United States is on December 24 each year.,"2019-12-24",Local holiday
Christmas Eve,Christmas Eve in the United States is on December 24 each year.,"2019-12-24",National holiday
Christmas Eve,Christmas Eve in the United States is on December 24 each year.,"2019-12-24",Local holiday
Washington's Birthday,Washington's Birthday is a state holiday in the USA,"2019-12-24",Local holiday
Christmas Day,Christmas Day celebrates Jesus Christ's birth.,"2019-12-25","National holiday, Christian"
Christmas Day,Christmas Day celebrates Jesus Christ's birth.,"2019-12-25","Local holiday, Christian"
Christmas Day,Christmas Day celebrates Jesus Christ's birth.,"2019-12-25","Local holiday, Christian"
Christmas Day,Christmas Day celebrates Jesus Christ's birth.,"2019-12-25","Local holiday, Christian"
Christmas Day,Christmas Day celebrates Jesus Christ's birth.,"2019-12-25","Local holiday, Christian"
Kwanzaa (first day),"Kwanzaa is a week-long holiday honoring the culture and traditions of African people and their descendants worldwide, especially in the United States.","2019-12-26",Observance
Day After Christmas Day,Some states in the United States observe the Day after Christmas Day as a public holiday.,"2019-12-26",Local holiday
Day After Christmas Day,Some states in the United States observe the Day after Christmas Day as a public holiday.,"2019-12-26",Local holiday
Last Day of Chanukah,"The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","2019-12-30",Hebrew
New Year's Eve,New Year's Eve is the last day of the year in the Gregorian calendar. Many parties to welcome the New Year are held in in the United States on New Year's Eve.,"2019-12-31",Observance
New Year's Eve,New Year's Eve is the last day of the year in the Gregorian calendar. Many parties to welcome the New Year are held in in the United States on New Year's Eve.,"2019-12-31",Local holiday
